Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
ARTE ARREDO SCHLERET SRL;2260160128;Varese;Lombardia;1116438;Sistema ARREDAMENTO
LINEARSED SRL;283720308;Udine;Friuli-Venezia Giulia;1114762;Sistema ARREDAMENTO
PALLADIO SCALE SRL;3822800243;Vicenza;Veneto;1113872;Sistema ARREDAMENTO
NOXIA SRL;1294320930;Pordenone;Friuli-Venezia Giulia;1111499;Sistema ARREDAMENTO
FLESSING COCCHELLA SRL;3750200101;Genova;Liguria;1110019;Sistema ARREDAMENTO
EMPORIUM SRL;1282780434;Macerata;Marche;1107110;Sistema ARREDAMENTO
DOMUS ARTE SRL;4234990267;Treviso;Veneto;1107024;Sistema ARREDAMENTO
HILL SALOTTI SRL;622580264;Treviso;Veneto;1106337;Sistema ARREDAMENTO
POLIEDRICA SRL;5140961003;Roma;Lazio;1101150;Sistema ARREDAMENTO
TIFERNO MOBILI S.R.L;3217930548;Perugia;Umbria;1097754;Sistema ARREDAMENTO
CHICCA ORLANDO SRL;3182110753;Lecce;Puglia;1091938;Sistema ARREDAMENTO
GRUPPO SALUS SRL;3796590879;Catania;Sicilia;1089721;Sistema ARREDAMENTO
PORTOFLEX SRL;7929880016;Venezia;Veneto;1088480;Sistema ARREDAMENTO
SUPREMA SRL;967310715;Torino;Piemonte;1087606;Sistema ARREDAMENTO
SERENISSIMA SRL;3030630267;Treviso;Veneto;1086484;Sistema ARREDAMENTO
CAVA SRL;342740354;Reggio nell'Emilia;Emilia-Romagna;1082509;Sistema ARREDAMENTO
LEV E LEV E C. SRL;991250960;Monza e della Brianza;Lombardia;1081128;Sistema ARREDAMENTO
SOLAGE SRL;5735511007;Ancona;Marche;1073936;Sistema ARREDAMENTO
MISURA I SALOTTI SRL;2420770410;Pesaro Urbino;Marche;1061114;Sistema ARREDAMENTO
GOLD LINE SRL;1380030427;Ancona;Marche;1054485;Sistema ARREDAMENTO
ATELIER MO.BA. SRL;3347300133;Como;Lombardia;1053353;Sistema ARREDAMENTO
CHEF CUCINE E DESIGN;2780800799;Catanzaro;Calabria;1047517;Sistema ARREDAMENTO
SOCIETA ITALIANA LEGNAMI;9732070017;Torino;Piemonte;1043805;Sistema ARREDAMENTO
RIVOLTA SRL;776220964;Monza e della Brianza;Lombardia;1039564;Sistema ARREDAMENTO
FRATELLI VALENTE SRL;7180320728;Bari;Puglia;1025960;Sistema ARREDAMENTO
LA BERICA MARMI SRL;2599450125;Varese;Lombardia;1014020;Sistema ARREDAMENTO
RHO SRL;1758990137;Como;Lombardia;1013857;Sistema ARREDAMENTO
ARCADE GROUP SRL;2221120211;Brescia;Lombardia;1007554;Sistema ARREDAMENTO
SESTINI NATALE E C. SRL;1237790512;Arezzo;Toscana;1003092;Sistema ARREDAMENTO
MALCOM SRL;2719550960;Monza e della Brianza;Lombardia;998620;Sistema ARREDAMENTO
CHAIRS E MORE SRL;2461710309;Udine;Friuli-Venezia Giulia;997735;Sistema ARREDAMENTO
ELITE TO BE SRL;1742130931;Pordenone;Friuli-Venezia Giulia;995278;Sistema ARREDAMENTO
TESSAROLO SRL;3285700245;Vicenza;Veneto;993510;Sistema ARREDAMENTO
GIOVANNI VISENTIN SRL;3658490242;Vicenza;Veneto;992875;Sistema ARREDAMENTO
NOVO GLASS SRL;2482300015;Torino;Piemonte;982752;Sistema ARREDAMENTO
C CONTRACT SRL;7047230961;Monza e della Brianza;Lombardia;972618;Sistema ARREDAMENTO
LVA SRL;11297360155;Milano;Lombardia;962803;Sistema ARREDAMENTO
OPIFICIO SERICO FIORENTINO;7605650014;Torino;Piemonte;960574;Sistema ARREDAMENTO
NUOVA GOMMA SRL;1262040478;Pistoia;Toscana;945149;Sistema ARREDAMENTO
